acc_chest_x,acc_chest_y,acc_chest_z,activity_name
-9.5673,0.080389,0.57566,Standing still
-9.9017,0.13486,0.85424,Standing still
-9.6561,-0.024468,0.87148,Standing still
-9.6702,0.17776,0.83705,Standing still
-9.7742,0.32852,0.80851,Standing still
-9.9003,0.065813,0.69013,Standing still
-9.8164,0.41745,0.96389,Standing still
-9.9356,0.31502,0.98625,Standing still
-9.5076,0.12598,1.1271,Standing still
-9.811,0.14639,0.80265,Standing still
-9.7298,0.12628,0.87452,Standing still
-9.7393,0.095384,0.92437,Standing still
-9.6532,0.33782,1.0094,Standing still
-9.7031,0.30599,1.1117,Standing still
-9.7629,0.26618,0.99238,Standing still
-9.6795,0.13824,0.73876,Standing still
-9.9096,0.52963,0.76346,Standing still
-9.8487,0.5171,1.0676,Standing still
-9.9344,0.25585,0.84408,Standing still
-9.7691,0.073429,1.0698,Standing still
-9.975,0.26648,0.7503,Standing still
-9.8987,-0.016168,0.80907,Standing still
-9.7498,0.11462,1.0103,Standing still
-9.9655,0.29486,0.95285,Standing still
-9.7037,0.33858,0.8831,Standing still
-9.8782,0.4736,1.3479,Standing still
-9.6613,0.23682,1.0003,Standing still
-9.7821,0.21637,0.90368,Standing still
-9.3959,0.09955,0.85106,Standing still
-9.3725,0.44238,0.93455,Standing still
-9.5386,0.16456,1.278,Standing still
-9.6019,0.2967,1.132,Standing still
-9.7841,0.31738,0.90225,Standing still
-9.7504,0.14573,0.92891,Standing still
-9.6916,0.23578,1.0739,Standing still
-9.7407,0.16549,0.98331,Standing still
-9.6805,0.18838,0.77485,Standing still
-9.7827,0.24528,1.0431,Standing still
-9.8532,0.23469,1.0211,Standing still
-9.6704,0.1869,0.93261,Standing still
-9.7831,0.26756,0.83461,Standing still
-9.7932,0.26735,0.84511,Standing still
-9.4688,0.20983,0.86099,Standing still
-9.4488,0.21844,1.0302,Standing still
-9.7494,0.096755,0.77713,Standing still
-9.832,0.18497,0.96402,Standing still
-10.117,0.31247,1.0597,Standing still
-9.9024,0.17281,1.0998,Standing still
-9.5609,0.26904,0.90842,Standing still
-9.7589,0.065333,0.87956,Standing still
-9.7587,0.054822,0.92072,Standing still
-9.9134,0.21433,0.97718,Standing still
-9.7833,0.27754,0.84603,Standing still
-9.5769,0.059477,0.63693,Standing still
-9.7528,0.26523,1.0976,Standing still
-9.8322,0.1958,0.89131,Standing still
-9.7706,0.14711,0.77113,Standing still
-9.5793,0.17614,1.0895,Standing still
-9.7891,0.56805,1.0827,Standing still
-9.9427,0.16515,0.81486,Standing still
-9.7415,0.20711,0.86075,Standing still
-9.5468,0.068608,0.76407,Standing still
-9.7993,0.064193,0.95315,Standing still
-9.8132,0.25664,0.88626,Standing still
-9.8553,-0.16512,0.59567,Standing still
-9.6009,0.2493,0.82244,Standing still
-9.957,0.37641,0.88651,Standing still
-9.9284,0.45807,0.8307,Standing still
-9.7355,0.40953,0.82633,Standing still
-9.5621,0.32653,1.2189,Standing still
-9.8405,0.10446,0.92519,Standing still
-9.9029,0.19688,0.71246,Standing still
-10.012,0.10496,0.70418,Standing still
-9.6094,0.16669,0.99395,Standing still
-9.9061,0.35705,0.85319,Standing still
-9.8684,0.48852,0.87555,Standing still
-9.7837,0.2973,0.88992,Standing still
-9.548,0.12904,0.78003,Standing still
-9.8205,0.11444,0.95767,Standing still
-9.869,0.51847,0.90982,Standing still
-9.9875,0.3862,0.88739,Standing still
-9.9274,0.41025,0.56324,Standing still
-9.663,0.31975,0.78667,Standing still
-9.7514,0.1965,0.9019,Standing still
-9.6753,-0.07207,0.56193,Standing still
-9.9409,0.075499,0.69101,Standing still
-9.916,0.3456,0.97847,Standing still
-9.7268,-0.022861,0.64005,Standing still
-9.7094,0.11524,0.98932,Standing still
-9.9045,0.27675,0.80386,Standing still
-9.8207,0.12737,0.67462,Standing still
-9.6688,0.10891,0.65191,Standing still
-9.6822,0.27025,0.66643,Standing still
-9.5415,0.30982,0.89104,Standing still
-9.5618,0.31119,0.73327,Standing still
-9.6436,0.36104,0.7167,Standing still
-9.8199,0.58919,0.95829,Standing still
-9.8799,0.05603,0.67873,Standing still
-9.6211,0.24773,0.95914,Standing still
-9.8013,0.1652,0.95171,Standing still
-9.7729,0.25883,0.70751,Standing still
-9.8001,0.10634,0.77799,Standing still
-9.8959,0.35001,0.55782,Standing still
-9.7898,0.097298,0.68244,Standing still
-9.6623,0.28779,0.95222,Standing still
-9.8353,0.35009,0.61046,Standing still
-9.8729,0.20895,0.54512,Standing still
-9.7402,0.14047,0.45475,Standing still
-9.6347,0.41948,0.94302,Standing still
-9.6642,0.38008,0.81315,Standing still
-9.8995,0.025558,0.67598,Standing still
-9.7391,0.086661,0.78675,Standing still
-9.6628,0.30955,0.79628,Standing still
-9.8496,0.056438,0.66824,Standing still
-9.3982,0.21233,0.68227,Standing still
-9.7439,0.32777,0.91371,Standing still
-9.7217,0.22791,0.82051,Standing still
-9.587,0.05496,1.0786,Standing still
-9.6581,0.077693,0.75436,Standing still
-9.679,0.10934,0.59931,Standing still
-9.6662,0.47971,0.94844,Standing still
-9.6934,0.3289,0.85065,Standing still
-9.5612,0.28008,0.81468,Standing still
-9.8536,0.2554,0.97035,Standing still
-9.7902,0.1158,0.85253,Standing still
-9.6304,0.20633,1.0501,Standing still
-9.8657,0.35798,0.80064,Standing still
-9.5814,0.28082,0.72001,Standing still
-9.6009,0.24751,1.0012,Standing still
-9.7918,0.19725,0.78617,Standing still
-9.8728,0.20327,1.113,Standing still
-9.9189,0.48886,0.79137,Standing still
-9.6678,0.56232,0.7664,Standing still
-9.6393,0.14705,0.90797,Standing still
-9.9265,0.36557,0.9908,Standing still
-9.6668,0.0050704,0.9373,Standing still
-9.6355,-0.044866,0.91175,Standing still
-9.8752,0.32593,0.96618,Standing still
-9.849,0.02417,0.86533,Standing still
-9.7122,0.25828,0.82325,Standing still
-9.852,0.17552,0.87895,Standing still
-9.8512,0.13547,0.84377,Standing still
-9.7542,0.33797,0.89357,Standing still
-9.9053,0.31775,0.74439,Standing still
-9.6586,0.099661,0.57739,Standing still
-9.9241,0.24555,0.87473,Standing still
-9.6622,0.28023,0.6989,Standing still
-9.7241,0.34825,0.90503,Standing still
-9.7134,0.31851,0.86024,Standing still
-9.5147,-0.021583,0.72437,Standing still
-9.8805,0.085353,0.7761,Standing still
-9.69,0.15748,0.8247,Standing still
-9.5078,0.13817,0.9177,Standing still
-9.788,0.0054369,0.77944,Standing still
-9.7474,-0.0035134,0.70495,Standing still
-9.7419,0.22645,0.9467,Standing still
-9.8536,0.25508,1.0019,Standing still
-9.6795,0.13582,0.98065,Standing still
-9.747,0.48101,0.73803,Standing still
-9.5759,0.0083969,0.69549,Standing still
-9.6589,0.11711,0.85264,Standing still
-9.83,0.084911,0.8708,Standing still
-9.6686,0.09588,0.94547,Standing still
-9.5977,0.086917,0.90256,Standing still
-9.8837,0.24742,0.72753,Standing still
-9.8975,-0.075656,0.69845,Standing still
-9.5673,0.080284,0.58617,Standing still
-9.867,-0.085549,0.70809,Standing still
-9.7547,0.36025,0.68505,Standing still
-9.791,0.15447,1.0244,Standing still
-9.5912,0.26685,1.0977,Standing still
-9.7553,-0.11471,0.70547,Standing still
-9.8718,0.15419,0.97177,Standing still
-9.728,0.037469,0.66653,Standing still
-9.8535,0.24962,0.53826,Standing still
-9.7433,0.29729,0.93202,Standing still
-9.5773,0.078185,0.78598,Standing still
-9.7494,0.098647,0.58783,Standing still
-9.6773,0.025149,0.93911,Standing still
-9.7785,0.037805,0.58235,Standing still
-9.7805,0.13492,0.97004,Standing still
-9.7223,0.25629,1.0125,Standing still
-9.5746,0.44919,1.0615,Standing still
-9.8216,0.16994,0.4574,Standing still
-9.7488,0.06659,0.76389,Standing still
-9.9001,0.054777,0.78388,Standing still
-9.9889,0.45746,0.83065,Standing still
-9.5482,0.13777,0.91766,Standing still
-9.5809,0.25949,0.83388,Standing still
-9.8358,0.37773,0.8761,Standing still
-9.7718,0.20628,0.9133,Standing still
-9.9376,0.41771,0.81654,Standing still
-9.3312,0.40085,1.0887,Standing still
-9.7413,0.19765,0.79674,Standing still
-9.7571,0.4807,0.75905,Standing still
-9.8302,0.60054,0.82247,Standing still
-9.5373,0.097296,0.93507,Standing still
-9.7118,0.23526,1.1054,Standing still
-9.8336,0.26727,0.81353,Standing still
-9.5585,0.14691,1.0027,Standing still
-9.7314,0.20784,0.79765,Standing still
-9.9964,0.3263,0.80831,Standing still
-9.6775,0.037027,0.76123,Standing still
-9.5999,0.19864,0.83893,Standing still
-9.6128,0.33885,0.94629,Standing still
-9.8821,0.16576,0.81492,Standing still
-9.6498,0.16713,0.90978,Standing still
-9.6623,0.28864,0.86808,Standing still
-9.6623,0.28832,0.89963,Standing still
-9.6432,0.33939,0.86212,Standing still
-9.6201,0.19823,0.85995,Standing still
-9.7403,0.14646,0.86581,Standing still
-9.9009,0.093559,0.94526,Standing still
-10.006,0.31674,0.7443,Standing still
-9.7643,0.33681,0.99873,Standing still
-9.3828,-0.051277,0.79539,Standing still
-9.7003,0.16652,0.92025,Standing still
-9.6795,0.13772,0.79134,Standing still
-9.7948,0.34839,0.82083,Standing still
-9.7308,0.17641,0.91061,Standing still
-9.908,0.44839,0.80878,Standing still
-9.7993,0.06577,0.79539,Standing still
-9.6789,0.10808,0.72552,Standing still
-9.7712,0.1779,0.72127,Standing still
-9.6616,0.24964,0.72773,Standing still
-9.7011,0.20898,0.71355,Standing still
-9.6195,0.16743,0.90981,Standing still
-9.64,0.1809,0.55312,Standing still
-9.8221,0.1981,0.67046,Standing still
-9.7692,0.075111,0.9015,Standing still
-9.71,0.14698,0.84481,Standing still
-9.9641,0.22538,0.83081,Standing still
-9.7906,0.13692,0.75969,Standing still
-9.6907,0.18912,0.6907,Standing still
-9.7789,0.056934,0.68933,Standing still
-9.8706,0.096175,0.71392,Standing still
-9.6376,0.059503,0.57378,Standing still
-10.012,0.074372,0.73301,Standing still
-9.7022,0.25912,0.74964,Standing still
-9.588,0.10856,0.76767,Standing still
-9.7997,0.086581,0.73411,Standing still
-9.8548,0.31751,0.81805,Standing still
-9.81,0.097201,0.67191,Standing still
-9.6736,0.34855,0.92611,Standing still
-9.6692,0.1271,0.85354,Standing still
-9.9854,0.27805,0.59345,Standing still
-9.6316,0.26886,0.85578,Standing still
-9.8472,0.43911,0.78689,Standing still
-9.7303,0.14909,0.61342,Standing still
-9.8253,0.35744,0.89533,Standing still
-9.9438,0.21855,0.52493,Standing still
-9.9827,0.14572,0.69733,Standing still
-9.7347,0.36896,0.84373,Standing still
-9.8546,0.30816,0.74352,Standing still
-9.6478,0.06844,0.67984,Standing still
-9.787,0.46106,0.67307,Standing still
-9.9532,0.18628,0.7115,Standing still
-9.5626,0.34976,0.91569,Standing still
-9.7538,0.31705,0.96538,Standing still
-9.8116,0.68178,0.7982,Standing still
-9.6929,0.29989,0.72173,Standing still
-9.78,0.10864,0.56767,Standing still
-9.7633,0.28784,0.84696,Standing still
-9.6192,0.14967,0.6661,Standing still
-9.7773,-0.021788,0.48225,Standing still
-9.8506,0.10615,0.7464,Standing still
-9.7803,0.12798,0.65362,Standing still
-9.82,0.089218,0.45013,Standing still
-9.6163,0.0064161,0.85321,Standing still
-9.914,0.75182,0.7624,Standing still
-9.8134,0.26736,0.82406,Standing still
-9.7332,0.29634,1.0372,Standing still
-9.6597,0.15873,0.73008,Standing still
-9.7149,0.39019,0.76143,Standing still
-9.8454,0.34904,0.7051,Standing still
-9.71,0.14687,0.85532,Standing still
-9.8352,0.34725,0.89441,Standing still
-9.8912,0.11636,0.69468,Standing still
-9.7938,0.29783,0.82681,Standing still
-9.6118,0.28851,0.93123,Standing still
-9.8342,0.29817,0.75315,Standing still
-9.6531,0.33088,0.69294,Standing still
-9.563,0.37047,0.86492,Standing still
-9.3337,0.019121,0.87541,Standing still
-9.8335,0.26044,0.4866,Standing still
-9.6299,0.18026,0.62675,Standing still
-9.7714,0.18673,0.84838,Standing still
-9.8151,0.34903,0.73668,Standing still
-9.7316,0.21793,0.79856,Standing still
-9.6842,0.36947,0.84378,Standing still
-9.8082,0.50889,0.91948,Standing still
-9.8177,0.48009,0.759,Standing still
-9.7809,0.1551,0.97185,Standing still
-9.6496,0.15872,0.7406,Standing still
-9.7565,0.44885,0.91408,Standing still
-9.8871,0.41706,0.93227,Standing still
-9.7015,0.22748,0.88363,Standing still
-9.6596,0.14969,0.624,Standing still
-9.6403,0.19698,0.9651,Standing still
-9.4933,0.42068,0.96418,Standing still
-9.5198,0.23045,0.76811,Standing still
-9.6318,0.27895,0.85668,Standing still
-9.7801,0.116,0.84202,Standing still
-9.9575,0.39796,0.75161,Standing still
-9.723,0.28961,0.71028,Standing still
-9.8405,0.10594,0.77796,Standing still
-9.56,0.22059,0.70406,Standing still
-9.7607,0.15477,1.0245,Standing still
-9.8738,0.25677,0.81258,Standing still
-9.6141,0.39981,0.90967,Standing still
-9.7211,0.19712,0.87037,Standing still
-9.7221,0.24746,0.88543,Standing still
-10.033,0.61765,0.92927,Standing still
-9.8526,0.20652,0.80806,Standing still
-9.6686,0.60058,0.98037,Standing still
-9.6379,0.075687,0.97523,Standing still
-9.9633,0.18744,0.58529,Standing still
-9.7738,0.30665,0.97497,Standing still
-9.7522,0.23707,0.88449,Standing still
-9.9461,0.33742,0.75668,Standing still
-9.7829,0.25747,0.8337,Standing still
-9.6967,0.48982,0.91777,Standing still
-9.7518,0.21657,0.91423,Standing still
-9.7118,0.2381,0.82143,Standing still
-9.8447,0.31646,0.93374,Standing still
-9.8011,0.15658,0.80357,Standing still
-9.7611,0.17695,0.82645,Standing still
-9.5718,0.30836,1.0067,Standing still
-9.8546,0.30553,1.0064,Standing still
-9.6294,0.15777,0.8563,Standing still
-9.7712,0.17591,0.92109,Standing still
-9.8342,0.29733,0.83729,Standing still
-9.5939,0.4017,0.74142,Standing still
-9.7692,0.077425,0.67013,Standing still
-9.8164,0.41829,0.87975,Standing still
-9.9556,0.30694,0.76447,Standing still
-9.6284,0.10742,0.84125,Standing still
-9.4728,0.41016,1.0264,Standing still
-9.766,0.42195,0.56429,Standing still
-10.088,0.36396,0.99065,Standing still
-9.8649,0.31636,0.92321,Standing still
-9.8019,0.19463,1.0386,Standing still
-9.6684,0.086,0.92353,Standing still
-9.6607,0.20802,0.8503,Standing still
-9.9068,0.38869,0.71919,Standing still
-9.7363,0.44926,0.89307,Standing still
-9.8219,0.18528,0.94299,Standing still
-9.9653,0.28613,0.81523,Standing still
-9.6252,-0.054119,0.83723,Standing still
-9.7352,0.3985,0.92008,Standing still
-9.7102,0.1577,0.78261,Standing still
-9.6579,0.066237,0.89017,Standing still
-9.8962,0.36787,0.791,Standing still
-9.5411,0.28879,0.97336,Standing still
-9.6692,0.12762,0.80096,Standing still
-9.764,0.32,0.66038,Standing still
-9.7714,0.18831,0.69063,Standing still
-9.753,0.27785,0.84606,Standing still
-9.7308,0.17883,0.66873,Standing still
-9.9481,0.43716,0.88145,Standing still
-9.8738,0.2552,0.97034,Standing still
-9.7526,0.25777,0.83373,Standing still
-9.8437,0.26601,0.9292,Standing still
-9.6481,0.079477,0.5861,Standing still
-9.7934,0.27786,0.80396,Standing still
-9.7041,0.35855,0.90595,Standing still
-9.7842,0.31938,0.70243,Standing still
-9.6205,0.21936,0.76711,Standing still
-9.7161,-0.054396,0.77405,Standing still
-9.9553,0.28781,0.65748,Standing still
-9.9417,0.6193,0.85574,Standing still
-9.5719,0.31288,0.55447,Standing still
-9.6848,0.40226,0.5941,Standing still
-9.6433,0.34496,0.30473,Standing still
-9.6695,0.1396,0.61256,Standing still
-9.9585,0.44988,0.60891,Standing still
-9.6586,0.10113,0.43015,Standing still
-9.8161,0.39916,0.77277,Standing still
-9.8777,0.4509,0.58795,Standing still
-9.5702,0.22932,0.83117,Standing still
-9.8613,0.13569,0.81221,Standing still
-9.7587,0.057977,0.60522,Standing still
-9.6904,0.17755,0.83703,Standing still
-9.8038,0.29027,0.56297,Standing still
-9.7013,0.21834,0.78807,Standing still
-9.7292,0.60345,0.63326,Standing still
-9.6632,0.33036,0.735,Standing still
-9.8751,0.32026,0.52356,Standing still
-10.018,0.40808,0.68936,Standing still
-9.6631,0.32805,0.96637,Standing still
-9.7222,0.24967,0.66458,Standing still
-9.8548,0.31657,0.9127,Standing still
-9.7365,0.46167,0.6626,Standing still
-9.7742,0.32778,0.88213,Standing still
-9.8038,0.28901,0.68917,Standing still
-9.8201,0.0971,0.6719,Standing still
-9.6923,0.2691,0.77159,Standing still
-10.05,0.49743,0.81319,Standing still
-9.6214,0.25972,0.77074,Standing still
-9.6862,0.47163,0.72666,Standing still
-9.7091,0.10042,0.45114,Standing still
-9.6658,0.46237,0.66267,Standing still
-9.6943,0.37168,0.6124,Standing still
-9.603,0.35136,0.71583,Standing still
-9.7437,0.31799,0.88125,Standing still
-9.7838,0.30025,0.59544,Standing still
-9.705,0.40027,0.77287,Standing still
-9.7112,0.20731,0.87129,Standing still
-9.4584,0.19343,0.49109,Standing still
-9.7819,0.20849,0.68192,Standing still
-9.7846,0.33914,0.74631,Standing still
-9.7113,0.2092,0.68199,Standing still
-9.6159,-0.014079,0.88294,Standing still
-9.5014,0.32031,0.89199,Standing still
-9.7624,0.24054,0.52691,Standing still
-9.6797,0.14823,0.75018,Standing still
-9.9046,0.27802,0.67765,Standing still
-9.8518,0.16648,0.77288,Standing still
-10.143,0.072114,0.82754,Standing still
-9.6705,0.19089,0.53297,Standing still
-9.7066,0.48131,0.74858,Standing still
-9.7845,0.3384,0.81993,Standing still
-9.7506,0.66073,0.94368,Standing still
-9.9227,0.17502,0.85786,Standing still
-9.7213,0.20784,0.80818,Standing still
-9.8535,0.24857,0.64342,Standing still
-9.7465,0.45809,1.0096,Standing still
-9.6933,0.31934,0.79716,Standing still
-9.851,0.12612,0.76925,Standing still
-9.6445,0.40876,0.99468,Standing still
-9.7938,0.29815,0.79525,Standing still
-9.5906,0.2391,0.84257,Standing still
-9.5945,0.43123,0.81776,Standing still
-9.6832,0.31954,0.78665,Standing still
-9.7853,0.37687,1.0129,Standing still
-9.7537,0.31012,0.64896,Standing still
-9.8558,0.36754,0.86466,Standing still
-9.6526,0.30807,0.95404,Standing still
-9.7233,0.30779,0.91191,Standing still
-9.7801,0.11779,0.66323,Standing still
-9.7744,0.33713,0.95666,Standing still
-9.8865,0.38616,0.99265,Standing still
-9.427,0.13761,1.0545,Standing still
-9.721,0.18944,0.62758,Standing still
-9.6534,0.34822,0.97871,Standing still
-9.6838,0.35066,0.70524,Standing still
-9.6853,0.42896,0.9544,Standing still
-9.7777,0.49941,0.88705,Standing still
-9.649,0.12793,0.79046,Standing still
-9.8977,0.43998,0.65012,Standing still
-9.7048,0.38945,0.84558,Standing still
-9.8626,0.19833,0.60732,Standing still
-9.6343,0.40256,0.61518,Standing still
-9.6714,0.23787,0.88457,Standing still
-9.7169,0.4894,0.93878,Standing still
-9.6894,0.12427,1.1164,Standing still
-9.6525,0.29935,0.81642,Standing still
-9.5038,0.44275,0.76616,Standing still
-9.8094,0.56963,0.9039,Standing still
-9.7448,0.36918,0.81217,Standing still
-9.6698,0.15894,0.69852,Standing still
-9.6896,0.13593,0.9596,Standing still
-9.7547,0.35899,0.81126,Standing still
-9.9819,0.10621,0.60956,Standing still
-9.5265,0.060087,0.62646,Standing still
-9.7771,0.46988,0.81071,Standing still
-9.5476,0.10855,0.80977,Standing still
-9.4312,0.34939,1.0841,Standing still
-9.8118,0.1879,0.6906,Standing still
-9.8009,0.14628,0.82369,Standing still
-9.866,0.36828,0.78051,Standing still
-9.7902,0.11758,0.67374,Standing still
-9.7443,0.34795,0.91553,Standing still
-9.8738,0.25709,0.78103,Standing still
-9.774,0.31853,0.79709,Standing still
-9.8692,0.52825,0.94228,Standing still
-9.5611,0.27934,0.8883,Standing still
-9.5429,0.37981,0.9605,Standing still
-9.6838,0.34981,0.78938,Standing still
-9.7414,0.19954,0.60743,Standing still
-9.6308,0.22934,0.76801,Standing still
-9.7728,0.25778,0.81267,Standing still
-9.4184,0.21318,0.57708,Standing still
-9.8728,0.20622,0.81856,Standing still
-9.7644,0.34186,0.49393,Standing still
-9.7513,0.18883,0.6591,Standing still
-9.8362,0.39833,0.83585,Standing still
-9.6842,0.37084,0.70706,Standing still
-9.6918,0.24671,0.99063,Standing still
-9.8612,0.63776,1.11,Standing still
-9.5536,0.40851,1.1105,Standing still
-9.7461,0.43834,0.96577,Standing still
-9.6095,0.17174,0.48914,Standing still
-9.7462,0.44138,0.66078,Standing still
-9.7818,0.19872,0.64946,Standing still
-9.7329,0.28057,0.59367,Standing still
-9.8325,0.21062,0.41896,Standing still
-9.8826,0.18941,0.46968,Standing still
-9.8343,0.29859,0.71108,Standing still
-9.5967,0.54432,0.61741,Standing still
-9.6404,0.19961,0.70217,Standing still
-9.8058,0.39138,0.55101,Standing still
-9.8439,0.27757,0.78288,Standing still
-10.151,0.49778,0.67638,Standing still
-9.5048,0.49226,0.86536,Standing still
-9.6209,0.23869,0.85306,Standing still
-9.6998,0.14014,0.5284,Standing still
-9.8529,0.2184,0.63018,Standing still
-9.9559,0.3185,0.61814,Standing still
-9.7302,0.14751,0.77117,Standing still
-9.724,0.33974,0.74637,Standing still
-9.85,0.58174,0.66288,Standing still
-9.753,0.27743,0.88813,Standing still
-9.7058,0.44137,0.70288,Standing still
-9.846,0.37994,0.64472,Standing still
-9.7979,0.503,0.50843,Standing still
-9.7529,0.27091,0.52965,Standing still
-9.9643,0.23653,0.72655,Standing still
-9.7443,0.34658,1.0522,Standing still
-9.7038,0.34068,0.67277,Standing still
-9.5687,0.15196,0.48736,Standing still
-9.7565,0.45306,0.49341,Standing still
-9.7942,0.31843,0.78655,Standing still
-9.6234,0.36093,0.74827,Standing still
-9.7143,0.35971,0.77974,Standing still
-9.7437,0.31862,0.81815,Standing still
-9.6232,0.34989,0.84202,Standing still
-9.6432,0.34244,0.55714,Standing still
-9.5751,0.47347,0.65314,Standing still
-9.7923,0.22058,0.47248,Standing still
-9.624,0.39215,0.65635,Standing still
-9.9011,0.61035,0.78125,Standing still
-9.8034,0.26862,0.70839,Standing still
-9.687,0.51115,0.81442,Standing still
-9.6852,0.42339,0.50126,Standing still
-9.8106,0.63081,0.84625,Standing still
-9.9229,0.1868,0.6905,Standing still
-9.7181,0.5512,0.81803,Standing still
-9.7318,0.2277,0.83102,Standing still
-9.9623,0.63907,0.87857,Standing still
-9.9066,0.37839,0.73932,Standing still
-9.7832,0.2705,0.54013,Standing still
-9.782,0.20912,0.61882,Standing still
-9.9492,0.48834,0.81237,Standing still
-9.7625,0.248,0.79074,Standing still
-9.6547,0.41139,0.72124,Standing still
-10.028,0.36509,0.93812,Standing still
-9.9276,0.42034,0.56415,Standing still
-9.4101,0.30156,0.83767,Standing still
-9.6616,0.24975,0.71721,Standing still
-9.7837,0.2972,0.90043,Standing still
-9.8391,0.53843,0.96425,Standing still
-9.7542,0.33849,0.84099,Standing still
-9.6698,0.158,0.79317,Standing still
-9.362,0.42199,0.96429,Standing still
-9.8538,0.2657,0.95023,Standing still
-9.7756,0.39862,0.86745,Standing still
-9.7837,0.29783,0.83733,Standing still
-9.6149,0.44333,0.59779,Standing still
-9.6728,0.30903,0.83834,Standing still
-9.5928,0.34914,0.94721,Standing still
-9.5708,0.2578,1.0127,Standing still
-9.8074,-0.035755,0.83889,Standing still
-9.8387,0.52014,0.77313,Standing still
-9.9851,0.26323,1.0658,Standing still
-9.9475,0.40699,0.86821,Standing still
-9.7722,0.22614,0.94667,Standing still
-9.5523,0.34093,0.7991,Standing still
-9.7025,0.2773,0.95127,Standing still
-9.7839,0.30718,0.91186,Standing still
-9.6264,0.51196,0.79345,Standing still
-9.9049,0.29651,0.84774,Standing still
-9.7362,0.4479,1.0298,Standing still
-9.8043,0.31812,0.80758,Standing still
-9.5635,0.39748,1.1937,Standing still
-9.7993,0.067558,0.61661,Standing still
-9.7304,0.15508,1.0245,Standing still
-9.8023,0.21743,0.77746,Standing still
-9.6411,0.23818,0.88459,Standing still
